DMS_filename,DMS_id,first_author,year,selection_type,origin_coarse_bucket,property_tier,task_name,mutation_type
A0A247D711_LISMN_Stadelmann_2021.csv,A0A247D711_LISMN_Stadelmann_2021,Stadelmann,2021,Flow cytometry,Activity,secondary,binding_affinity,substitutions
ACE2_HUMAN_Chan_2020.csv,ACE2_HUMAN_Chan_2020,Chan,2020,Flow Cytometry Assay,Binding,secondary,binding_affinity,substitutions
B2L11_HUMAN_Dutta_2010_binding-Mcl-1.csv,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,Dutta,2010,FACS,Binding,secondary,binding_affinity,substitutions
CCR5_HUMAN_Gill_2023.csv,CCR5_HUMAN_Gill_2023,Gill,2023,FACS,Binding,secondary,binding_affinity,substitutions
CD19_HUMAN_Klesmith_2019_FMC_singles.csv,CD19_HUMAN_Klesmith_2019_FMC_singles,Klesmith,2019,FACS,Binding,secondary,binding_affinity,substitutions
DLG4_RAT_McLaughlin_2012.csv,DLG4_RAT_McLaughlin_2012,McLaughlin,2012,Binding,Binding,secondary,binding_affinity,substitutions
GCN4_YEAST_Staller_2018.csv,GCN4_YEAST_Staller_2018,Staller,2018,FACS,Binding,secondary,binding_affinity,substitutions
PAI1_HUMAN_Huttinger_2021.csv,PAI1_HUMAN_Huttinger_2021,Huttinger,2021,phage fitness,Activity,secondary,binding_affinity,substitutions
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR.csv,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,McShan,2019,,Binding,secondary,binding_affinity,substitutions
RASK_HUMAN_Weng_2022_binding-DARPin_K55.csv,RASK_HUMAN_Weng_2022_binding-DARPin_K55,Weng,2022,,Binding,secondary,binding_affinity,substitutions
RL40A_YEAST_Roscoe_2014.csv,RL40A_YEAST_Roscoe_2014,Roscoe,2014,Binding,Activity,secondary,binding_affinity,substitutions
RPC1_LAMBD_Li_2019_high-expression.csv,RPC1_LAMBD_Li_2019_high-expression,Li,2019,FACS,Activity,secondary,binding_affinity,substitutions
RPC1_LAMBD_Li_2019_low-expression.csv,RPC1_LAMBD_Li_2019_low-expression,Li,2019,FACS,Activity,secondary,binding_affinity,substitutions
SPG1_STRSG_Olson_2014.csv,SPG1_STRSG_Olson_2014,Olson,2014,Binding,Binding,secondary,binding_affinity,substitutions
SPG1_STRSG_Wu_2016.csv,SPG1_STRSG_Wu_2016,Wu,2016,binding,Binding,secondary,binding_affinity,substitutions
SPIKE_SARS2_Starr_2020_binding.csv,SPIKE_SARS2_Starr_2020_binding,Starr,2020,Binding,Binding,secondary,binding_affinity,substitutions
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM.csv,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,Chakraborty,2022,,Activity,secondary,binding_affinity,substitutions
YAP1_HUMAN_Araya_2012.csv,YAP1_HUMAN_Araya_2012,Araya,2012,Binding,Binding,secondary,binding_affinity,substitutions
