DMS_filename,DMS_id,first_author,year,selection_type,origin_coarse_bucket,property_tier,task_name,mutation_type
B1LPA6_ECOSM_Russ_2020_indels.csv,B1LPA6_ECOSM_Russ_2020_indels,Russ,2020,enzyme activity,Activity,secondary,enzymatic_activity,indels
PTEN_HUMAN_Mighell_2018_indels.csv,PTEN_HUMAN_Mighell_2018_indels,Mighell,2018,lipid phosphatase activity,Activity,secondary,enzymatic_activity,indels
S22A1_HUMAN_Yee_2023_activity_indels.csv,S22A1_HUMAN_Yee_2023_activity_indels,Yee,2023,Growth,Activity,secondary,enzymatic_activity,indels
AICDA_HUMAN_Gajula_2014_3cycles.csv,AICDA_HUMAN_Gajula_2014_3cycles,Gajula,2014,bulk RNA-sequencing,Activity,secondary,enzymatic_activity,substitutions
AMIE_PSEAE_Wrenbeck_2017.csv,AMIE_PSEAE_Wrenbeck_2017,Wrenbeck,2017,Growth,Activity,secondary,enzymatic_activity,substitutions
ANCSZ_Hobbs_2022.csv,ANCSZ_Hobbs_2022,Hobbs,2022,enzymatic activity,Activity,secondary,enzymatic_activity,substitutions
CAS9_STRP1_Spencer_2017_positive.csv,CAS9_STRP1_Spencer_2017_positive,Spencer,2017,Flow cytometry,Activity,secondary,enzymatic_activity,substitutions
CASP3_HUMAN_Roychowdhury_2020.csv,CASP3_HUMAN_Roychowdhury_2020,Roychowdhury,2022,,Activity,secondary,enzymatic_activity,substitutions
CASP7_HUMAN_Roychowdhury_2020.csv,CASP7_HUMAN_Roychowdhury_2020,Roychowdhury,2022,,Activity,secondary,enzymatic_activity,substitutions
CCDB_ECOLI_Adkar_2012.csv,CCDB_ECOLI_Adkar_2012,Adkar,2012,toxin activity,Activity,secondary,enzymatic_activity,substitutions
CP2C9_HUMAN_Amorosi_2021_activity.csv,CP2C9_HUMAN_Amorosi_2021_activity,Amorosi,2021,"Activity, binding",Binding,secondary,enzymatic_activity,substitutions
ENVZ_ECOLI_Ghose_2023.csv,ENVZ_ECOLI_Ghose_2023,Ghose,2023,FACS,Activity,secondary,enzymatic_activity,substitutions
HEM3_HUMAN_Loggerenberg_2023.csv,HEM3_HUMAN_Loggerenberg_2023,van Loggerenberg,2023,Yeast complementation,Activity,secondary,enzymatic_activity,substitutions
KCNE1_HUMAN_Muhammad_2023_function.csv,KCNE1_HUMAN_Muhammad_2023_function,Muhammad,2023,Growth,Activity,secondary,enzymatic_activity,substitutions
KCNH2_HUMAN_Kozek_2020.csv,KCNH2_HUMAN_Kozek_2020,Kozek,2020,Voltage,Activity,secondary,enzymatic_activity,substitutions
KCNJ2_MOUSE_Coyote-Maestas_2022_function.csv,KCNJ2_MOUSE_Coyote-Maestas_2022_function,Coyote-Maestas,2022,FACS,Activity,secondary,enzymatic_activity,substitutions
LGK_LIPST_Klesmith_2015.csv,LGK_LIPST_Klesmith_2015,Klesmith,2015,Growth,Activity,secondary,enzymatic_activity,substitutions
MET_HUMAN_Estevam_2023.csv,MET_HUMAN_Estevam_2023,Estevam,2023,Growth,Activity,secondary,enzymatic_activity,substitutions
NPC1_HUMAN_Erwood_2022_HEK293T.csv,NPC1_HUMAN_Erwood_2022_HEK293T,Erwood,2022,Flow Cytometry Assay,Activity,secondary,enzymatic_activity,substitutions
NPC1_HUMAN_Erwood_2022_RPE1.csv,NPC1_HUMAN_Erwood_2022_RPE1,Erwood,2022,Flow Cytometry Assay,Activity,secondary,enzymatic_activity,substitutions
OTC_HUMAN_Lo_2023.csv,OTC_HUMAN_Lo_2023,Lo,2023,,Activity,secondary,enzymatic_activity,substitutions
OXDA_RHOTO_Vanella_2023_activity.csv,OXDA_RHOTO_Vanella_2023_activity,Vanella,2023,FACS,Activity,secondary,enzymatic_activity,substitutions
PHOT_CHLRE_Chen_2023.csv,PHOT_CHLRE_Chen_2023,Chen,2023,FACS,Activity,secondary,enzymatic_activity,substitutions
PTEN_HUMAN_Mighell_2018.csv,PTEN_HUMAN_Mighell_2018,Mighell,2018,lipid phosphatase activity,Activity,secondary,enzymatic_activity,substitutions
Q59976_STRSQ_Romero_2015.csv,Q59976_STRSQ_Romero_2015,Romero,2015,Activity,Activity,secondary,enzymatic_activity,substitutions
Q837P4_ENTFA_Meier_2023.csv,Q837P4_ENTFA_Meier_2023,Meier,2023,Growth,Activity,secondary,enzymatic_activity,substitutions
Q837P5_ENTFA_Meier_2023.csv,Q837P5_ENTFA_Meier_2023,Meier,2023,Growth,Activity,secondary,enzymatic_activity,substitutions
RASH_HUMAN_Bandaru_2017.csv,RASH_HUMAN_Bandaru_2017,Bandaru,2017,activity,Activity,secondary,enzymatic_activity,substitutions
RNC_ECOLI_Weeks_2023.csv,RNC_ECOLI_Weeks_2023,Weeks,2023,FACS,Activity,secondary,enzymatic_activity,substitutions
S22A1_HUMAN_Yee_2023_activity.csv,S22A1_HUMAN_Yee_2023_activity,Yee,2023,Growth,Activity,secondary,enzymatic_activity,substitutions
SRC_HUMAN_Ahler_2019.csv,SRC_HUMAN_Ahler_2019,Ahler,2019,Growth,Activity,secondary,enzymatic_activity,substitutions
UBE4B_MOUSE_Starita_2013.csv,UBE4B_MOUSE_Starita_2013,Starita,2013,Auto-ubiquitination,Activity,secondary,enzymatic_activity,substitutions
VKOR1_HUMAN_Chiasson_2020_activity.csv,VKOR1_HUMAN_Chiasson_2020_activity,Chiasson,2020,enzymatic activity,Activity,secondary,enzymatic_activity,substitutions
