DMS_filename,DMS_id,first_author,year,selection_type,origin_coarse_bucket,property_tier,task_name,mutation_type
KCNJ2_MOUSE_Macdonald_2022_indels.csv,KCNJ2_MOUSE_Macdonald_2022_indels,Macdonald,2022,FACS,Expression,secondary,expression_yield,indels
S22A1_HUMAN_Yee_2023_abundance_indels.csv,S22A1_HUMAN_Yee_2023_abundance_indels,Yee,2023,FACS,Expression,secondary,expression_yield,indels
CP2C9_HUMAN_Amorosi_2021_abundance.csv,CP2C9_HUMAN_Amorosi_2021_abundance,Amorosi,2021,protein abundance,Expression,secondary,expression_yield,substitutions
HXK4_HUMAN_Gersing_2023_abundance.csv,HXK4_HUMAN_Gersing_2023_abundance,Gersing,2023,Growth,Expression,secondary,expression_yield,substitutions
KCNE1_HUMAN_Muhammad_2023_expression.csv,KCNE1_HUMAN_Muhammad_2023_expression,Muhammad,2023,FACS,Expression,secondary,expression_yield,substitutions
KCNJ2_MOUSE_Coyote-Maestas_2022_surface.csv,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,Coyote-Maestas,2022,FACS,Expression,secondary,expression_yield,substitutions
NUD15_HUMAN_Suiter_2020.csv,NUD15_HUMAN_Suiter_2020,Suiter,2020,"VAMP-seq, drug sensitivity",Expression,secondary,expression_yield,substitutions
OPSD_HUMAN_Wan_2019.csv,OPSD_HUMAN_Wan_2019,Wan,2019,Flow Cytometry Assay,Expression,secondary,expression_yield,substitutions
OXDA_RHOTO_Vanella_2023_expression.csv,OXDA_RHOTO_Vanella_2023_expression,Vanella,2023,FACS,Expression,secondary,expression_yield,substitutions
PRKN_HUMAN_Clausen_2023.csv,PRKN_HUMAN_Clausen_2023,Clausen,2023,FACS,Expression,secondary,expression_yield,substitutions
PTEN_HUMAN_Matreyek_2021.csv,PTEN_HUMAN_Matreyek_2021,Matreyek,2021,Protein stability,Expression,secondary,expression_yield,substitutions
Q53Z42_HUMAN_McShan_2019_expression.csv,Q53Z42_HUMAN_McShan_2019_expression,McShan,2019,,Expression,secondary,expression_yield,substitutions
RASK_HUMAN_Weng_2022_abundance.csv,RASK_HUMAN_Weng_2022_abundance,Weng,2022,,Expression,secondary,expression_yield,substitutions
S22A1_HUMAN_Yee_2023_abundance.csv,S22A1_HUMAN_Yee_2023_abundance,Yee,2023,FACS,Expression,secondary,expression_yield,substitutions
SC6A4_HUMAN_Young_2021.csv,SC6A4_HUMAN_Young_2021,Young,2021,Fluorescence,Activity,secondary,expression_yield,substitutions
SPIKE_SARS2_Starr_2020_expression.csv,SPIKE_SARS2_Starr_2020_expression,Starr,2020,Binding,Expression,secondary,expression_yield,substitutions
TPMT_HUMAN_Matreyek_2018.csv,TPMT_HUMAN_Matreyek_2018,Matreyek,2018,Protein stability,Expression,secondary,expression_yield,substitutions
VKOR1_HUMAN_Chiasson_2020_abundance.csv,VKOR1_HUMAN_Chiasson_2020_abundance,Chiasson,2020,Fluorescence,Expression,secondary,expression_yield,substitutions
